"PER TESSERATI
(tutte le quote di questo foglio 
sono calcolate senza i €25,00 per Quota Tessera)",ISCRIZIONI FATTE:, SETTEMBRE - OTTOBRE (2025),, NOVEMBRE (2025),, DICEMBRE (2025),, GENNAIO (2026),, FEBBRAIO (2026),, MARZO (2026),, APRILE (2026),, MAGGIO (2026),, GIUGNO (2026),, LUGLIO (2025),,, SETTEMBRE - OTTOBRE (2025) Q1C,NOVEMBRE (2025) Q1C,DICEMBRE (2025) Q1C,GENNAIO (2026) Q1C,FEBBRAIO (2026) Q1C,MARZO (2026) Q1C,APRILE (2026) Q1C,MAGGIO (2026) Q1C,GIUGNO (2026) Q1C,LUGLIO (2025) Q1C,,
Descrizione Quote,Dettagli, Quota,numero lezioni, Quota,numero lezioni, Quota,numero lezioni, Quota,numero lezioni, Quota,numero lezioni, Quota,numero lezioni, Quota,numero lezioni, Quota,numero lezioni, Quota,numero lezioni, Quota,numero lezioni,numero corsi a settimana," 1 corso
3 CORSI Adulti AERIAL,"580 x 3 = 1740 sconto 390 €
periodo Settembre -> Giugno"," € 1.350,00 ",," € 1.350,00 ",," € 1.050,00 ",," € 900,00 ",," € 750,00 ",," € 600,00 ",," € 450,00 ",," € 300,00 ",," € 150,00 ",," € 150,00 ",,3," € 450,00 "," € 450,00 "," € 350,00 "," € 300,00 "," € 250,00 "," € 200,00 "," € 150,00 "," € 100,00 "," € 50,00 "," € 50,00 ", ,
,,,,,,,,,,,,,,,,,,,,,,, , , , , , , , , , , ,
2 CORSI Adulti (1 Aerial + 1 BDF),"1 Aerial + 1 tra (ballo, danza, fitness)
580 + 390 = 970 sconto 170 €
periodo Settembre -> Giugno
60% Aerial e 40% BDF"," € 800,00 ",," € 800,00 ",,,,,,,,,,,,,,,,,,1 (60% Aerial)," € 480,00 "," € 480,00 ", € -   , € -   , € -   , € -   , € -   , € -   , € -   , € -   , ,
2 CORSI Adulti (1 BDF + 1 Aerial),"1 tra (ballo, danza, fitness) + 1 Aerial
390 + 580 = 970 sconto 170 €
periodo Settembre -> Giugno
40% BDF e 60% Aerial"," € 800,00 ",," € 800,00 ",,,,,,,,,,,,,,,,,,1 (40% BDF)," € 320,00 "," € 320,00 ", € -   , € -   , € -   , € -   , € -   , € -   , € -   , € -   , ,
4 CORSI Adulti (2 Aerial + 2 BDF),"2 Aerial + 2 BDF tra (ballo, danza, fitness)
960 + 680 = 1640 sconto 100 €
periodo Settembre -> Giugno
60% Aerial e 40% BDF"," € 1.540,00 ",," € 1.540,00 ",,,,,,,,,,,,,,,,,,2 (60% Aerial)," € 462,00 "," € 462,00 ", € -   , € -   , € -   , € -   , € -   , € -   , € -   , € -   , ,
4 CORSI Adulti (2 BDF + 2 Aerial),"2 BDF tra (ballo, danza, fitness) + 2 Aerial
680 + 960 = 1640 sconto 100 €
periodo Settembre -> Giugno
40% BDF e 60% Aerial"," € 1.540,00 ",," € 1.540,00 ",,,,,,,,,,,,,,,,,,2 (40% BDF)," € 308,00 "," € 308,00 ", € -   , € -   , € -   , € -   , € -   , € -   , € -   , € -   , ,
3 CORSI Adulti (2 Aerial + 1 BDF),"2 Aerial + 1 tra (ballo, danza, fitness)
960 + 390 = 1350 sconto 90 €
periodo Settembre -> Giugno"," € 1.260,00 ",," € 1.260,00 ",,,,,,,,,,,,,,,,,,3," € 420,00 "," € 420,00 ", , , , , , , , , ,
3 CORSI Adulti (2 BDF + 1 Aerial),"2 BDF tra (ballo, danza, fitness) + 1 Aerial
680 + 580 = 1260 sconto 90 €
periodo Settembre -> Giugno"," € 1.170,00 ",," € 1.170,00 ",,,,,,,,,,,,,,,,,,3," € 390,00 "," € 390,00 ", , , , , , , , , ,
,,,,,,,,,,,,,,,,,,,,,,, , , , , , , , , , , ,
,CORSI BAMBINI E RAGAZZI (DA 3 A 17 ANNI),CORSI BAMBINI E RAGAZZI (DA 3 A 17 ANNI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
